,module,unit,topic_name,content
0,Develop generative AI apps in Azure - Training,Plan and prepare to develop AI solutions on Azure,Introduction,"# Introduction

Completed 100 XP

  * 1 minute

The growth in the use of artificial intelligence (AI) in general, and
_generative_ AI in particular means that developers are increasingly required
to create comprehensive AI solutions. These solutions need to combine machine
learning models, AI services, prompt engineering solutions, and custom code.

Microsoft Azure provides multiple services that you can use to create AI
solutions. However, before embarking on an AI application development project,
it's useful to consider the available options for services, tools, and
frameworks as well as some principles and practices that can help you succeed.

This module explores some of the key considerations for planning an AI
development project, and introduces **Azure AI Foundry** ; a comprehensive
platform for AI development on Microsoft Azure.

* * *"
1,Develop generative AI apps in Azure - Training,Plan and prepare to develop AI solutions on Azure,What is AI?,"# What is AI?

Completed 100 XP

  * 5 minutes

The term ""Artificial Intelligence"" (AI) covers a wide range of software
capabilities that enable applications to exhibit human-like behavior. AI has
been around for many years, and its definition has varied as the technology
and use cases associated with it have evolved. In today's technological
landscape, AI solutions are built on machine learning _models_ that
encapsulate semantic relationships found in huge quantities of data; enabling
applications to appear to interpret input in various formats, reason over the
input data, and generate appropriate responses and predictions.

Common AI capabilities that developers can integrate into a software
application include:

Expand table

Capability | Description  
---|---  
![Diagram of speech bubbles.](../../wwl-data-ai/prepare-azure-ai-
development/media/generative-ai.png)  
**Generative AI** | The ability to generate original responses to natural
language _prompts_. For example, software for a real estate business might be
used to automatically generate property descriptions and advertising copy for
a property listing.  
![Diagram of a human head with a cog for a brain.](../../wwl-data-ai/prepare-
azure-ai-development/media/agent.png)  
**Agents** | Generative AI applications that can respond to user input or
assess situations autonomously, and take appropriate actions. For example, an
""executive assistant"" agent could provide details about the location of a
meeting on your calendar, or even attach a map or automate the booking of a
taxi or rideshare service to help you get there.  
![Diagram of an eye being scanned.](../../wwl-data-ai/prepare-azure-ai-
development/media/computer-vision.png)  
**Computer vision** | The ability to accept, interpret, and process visual
input from images, videos, and live camera streams. For example, an automated
checkout in a grocery store might use computer vision to identify which
products a customer has in their shopping basket, eliminating the need to scan
a barcode or manually enter the product and quantity.  
![Diagram of a speech bubble and a sound wave.](../../wwl-data-ai/prepare-
azure-ai-development/media/speech.png)  
**Speech** | The ability to recognize and synthesize speech. For example, a
digital assistant might enable users to ask questions or provide audible
instructions by speaking into a microphone, and generate spoken output to
provide answers or confirmations.  
![Diagram of a text document.](../../wwl-data-ai/prepare-azure-ai-
development/media/natural-language.png)  
**Natural language processing** | The ability to process natural language in
written or spoken form, analyze it, identify key points, and generate
summaries or categorizations. For example, a marketing application might
analyze social media messages that mention a particular company, translate
them to a specific language, and categorize them as positive or negative based
on sentiment analysis.  
![Diagram of a form containing information.](../../wwl-data-ai/prepare-azure-
ai-development/media/information-extraction.png)  
**Information extraction** | The ability to use computer vision, speech, and
natural language processing to extract key information from documents, forms,
images, recordings, and other kinds of content. For example, an automated
expense claims processing application might extract purchase dates, individual
line item details, and total costs from a scanned receipt.  
![Diagram of a chart showing an upward trend.](../../wwl-data-ai/prepare-
azure-ai-development/media/prediction.png)  
**Decision support** | The ability to use historic data and learned
correlations to make predictions that support business decision making. For
example, analyzing demographic and economic factors in a city to predict real
estate market trends that inform property pricing decisions.  
  
Determining the specific AI capabilities you want to include in your
application can help you identify the most appropriate AI services that you'll
need to provision, configure, and use in your solution.

## A closer look at generative AI

_Generative AI_ represents the latest advance in artificial intelligence, and
deserves some extra attention. Generative AI uses _language models_ to respond
to natural language _prompts_ , enabling you to build conversational apps and
agents that support research, content creation, and task automation in ways
that were previously unimaginable.

![Diagram of a prompt, a language model, and a response.](../../wwl-data-
ai/prepare-azure-ai-development/media/prompt.png)

The language models used in generative AI solutions can be large language
models (LLMs) that have been trained on huge volumes of data and include many
millions of parameters; or they can be small language models (SLMs) that are
optimized for specific scenarios with lower overhead. Language models commonly
respond to text-based prompts with natural language text; though increasingly
new _multi-modal_ models are able to handle image or speech prompts and
respond by generating text, code, speech, or images.

* * *"
2,Develop generative AI apps in Azure - Training,Plan and prepare to develop AI solutions on Azure,Azure AI services,"# Azure AI services

Completed 100 XP

  * 5 minutes

Microsoft Azure provides a wide range of cloud services that you can use to
develop, deploy, and manage an AI solution. The most obvious starting point
for considering AI development on Azure is Azure AI services; a set of out-of-
the-box prebuilt APIs and models that you can integrate into your
applications. The following table lists some commonly used Azure AI services
(for a full list of all available Azure AI services, see [Available Azure AI
services](https://learn.microsoft.com/en-us/azure/ai-services/what-are-ai-
services#available-azure-ai-services?azure-portal=true)).

Expand table

Service | Description  
---|---  
![Azure OpenAI service icon.](../../wwl-data-ai/prepare-azure-ai-
development/media/open-ai.png)  
**Azure OpenAI** | Azure OpenAI in Foundry Models provides access to OpenAI
generative AI models including the GPT family of large and small language
models and DALL-E image-generation models within a scalable and securable
cloud service on Azure.  
![Azure AI Vision service icon.](../../wwl-data-ai/prepare-azure-ai-
development/media/vision.png)  
**Azure AI Vision** | The Azure AI Vision service provides a set of models and
APIs that you can use to implement common computer vision functionality in an
application. With the AI Vision service, you can detect common objects in
images, generate captions, descriptions, and tags based on image contents, and
read text in images.  
![Azure AI Speech service icon.](../../wwl-data-ai/prepare-azure-ai-
development/media/speech-service.png)  
**Azure AI Speech** | The Azure AI Speech service provides APIs that you can
use to implement _text to speech_ and _speech to text_ transformation, as well
as specialized speech-based capabilities like speaker recognition and
translation.  
![Azure AI Language service icon.](../../wwl-data-ai/prepare-azure-ai-
development/media/language.png)  
**Azure AI Language** | The Azure AI Language service provides models and APIs
that you can use to analyze natural language text and perform tasks such as
entity extraction, sentiment analysis, and summarization. The AI Language
service also provides functionality to help you build conversational language
models and question answering solutions.  
![Azure AI Foundry Content Safety service icon.](../../wwl-data-ai/prepare-
azure-ai-development/media/content-safety.png)  
**Azure AI Foundry Content Safety** | Azure AI Foundry Content Safety provides
developers with access to advanced algorithms for processing images and text
and flagging content that is potentially offensive, risky, or otherwise
undesirable.  
![Azure AI Translator service icon.](../../wwl-data-ai/prepare-azure-ai-
development/media/translator.png)  
**Azure AI Translator** | The Azure AI Translator service uses state-of-the-
art language models to translate text between a large number of languages.  
![Azure AI Face service icon.](../../wwl-data-ai/prepare-azure-ai-
development/media/face.png)  
**Azure AI Face** | The Azure AI Face service is a specialist computer vision
implementation that can detect, analyze, and recognize human faces. Because of
the potential risks associated with personal identification and misuse of this
capability, access to some features of the AI Face service are restricted to
approved customers.  
![Azure AI Custom Vision service icon.](../../wwl-data-ai/prepare-azure-ai-
development/media/custom-vision.png)  
**Azure AI Custom Vision** | The Azure AI Custom Vision service enables you to
train and use custom computer vision models for image classification and
object detection.  
![Azure AI Document Intelligence service icon.](../../wwl-data-ai/prepare-
azure-ai-development/media/document-intelligence.png)  
**Azure AI Document Intelligence** | With Azure AI Document Intelligence, you
can use pre-built or custom models to extract fields from complex documents
such as invoices, receipts, and forms.  
![Azure AI Content Understanding service icon.](../../wwl-data-ai/prepare-
azure-ai-development/media/content-understanding.png)  
**Azure AI Content Understanding** | The Azure AI Content Understanding
service provides multi-modal content analysis capabilities that enable you to
build models to extract data from forms and documents, images, videos, and
audio streams.  
![Azure AI Search service icon.](../../wwl-data-ai/prepare-azure-ai-
development/media/search.png)  
**Azure AI Search** | The Azure AI Search service uses a pipeline of AI skills
based on other Azure AI Services and custom code to extract information from
content and create a searchable index. AI Search is commonly used to create
vector indexes for data that can then be used to _ground_ prompts submitted to
generative AI language models, such as those provided in Azure OpenAI.  
  
## Considerations for Azure AI services resources

To use Azure AI services, you create one or more Azure AI resources in an
Azure subscription and implement code in client applications to consume them.
In some cases, AI services include web-based visual interfaces that you can
use to configure and test your resources - for example to train a custom image
classification model using the **Custom Vision** service you can use the
visual interface to upload training images, manage training jobs, and deploy
the resulting model.

Note

You can provision Azure AI services resources in the Azure portal (or by using
BICEP or ARM templates or the Azure command-line interface) and build
applications that use them directly through various service-specific APIs and
SDKs. However, as we'll discuss later in this module, in most medium to large-
scale development scenarios it's better to provision Azure AI services
resources as part of an _Azure AI Foundry_ project - enabling you to
centralize access control and cost management, and making it easier to manage
shared resources and build the next generation of generative AI apps and
agents.

### Single service or multi-service resource?

Most Azure AI services, such as **Azure AI Vision** , **Azure AI Language** ,
and so on, can be provisioned as standalone resources, enabling you to create
only the Azure resources you specifically need. Additionally, standalone Azure
AI services often include a free-tier SKU with limited functionality, enabling
you to evaluate and develop with the service at no cost. Each standalone Azure
AI resource provides an endpoint and authorization keys that you can use to
access it securely from a client application.

Alternatively, you can provision a multi-service resource that encapsulates
multiple AI services in a single Azure resource. Using a multi-service
resource can make it easier to manage applications that use multiple AI
capabilities. There are two multi-service resource types you can use:

Expand table

Resource | Description  
---|---  
![Azure AI service icon.](../../wwl-data-ai/prepare-azure-ai-
development/media/cognitive-services.png)  
**Azure AI services** | The Azure AI Services resource type includes the
following services, making them available from a single endpoint:

  * Azure AI Speech
  * Azure AI Language
  * Azure AI Translator
  * Azure AI Vision
  * Azure AI Face
  * Azure AI Custom Vision
  * Azure AI Document Intelligence

  
![Azure AI Foundry icon.](../../wwl-data-ai/prepare-azure-ai-
development/media/ai-services.png)  
**Azure AI Foundry** | The Azure AI Foundry resource type includes the
following services, and supports working with them through an Azure AI Foundry
project*:

  * Azure OpenAI
  * Azure AI Speech
  * Azure AI Language
  * Azure AI Foundry Content Safety
  * Azure AI Translator
  * Azure AI Vision
  * Azure AI Face
  * Azure AI Document Intelligence
  * Azure AI Content Understanding

  
  
* Azure AI Foundry is discussed in the next unit.

### Regional availability

Some services and models are available in only a subset of Azure regions.
Consider service availability and any regional quota restrictions for your
subscription when provisioning Azure AI services. Use the [product
availability table](https://azure.microsoft.com/explore/global-
infrastructure/products-by-region/table) to check regional availability of
Azure services. Use the [model availability
table](https://learn.microsoft.com/en-us/azure/ai-
services/openai/concepts/models#model-summary-table-and-region-
availability?azure-portal=true) in the Azure OpenAI documentation to determine
regional availability for Azure OpenAI models.

### Cost

Azure AI services are charged based on usage, with different pricing schemes
available depending on the specific services being used. As you plan an AI
solution on Azure, use the [Azure AI services
pricing](https://azure.microsoft.com/pricing/details/cognitive-services)
documentation to understand pricing for the AI services you intend to
incorporate into your application. You can use the [Azure pricing
calculator](https://azure.microsoft.com/pricing/calculator) to estimate the
costs your expected usage will incur.

* * *"
3,Develop generative AI apps in Azure - Training,Plan and prepare to develop AI solutions on Azure,Azure AI Foundry,"# Azure AI Foundry

Completed 100 XP

  * 5 minutes

Azure AI Foundry is a platform for AI development on Microsoft Azure. While
you _can_ provision individual Azure AI services resources and build
applications that consume them without it, the project organization, resource
management, and AI development capabilities of Azure AI Foundry makes it the
recommended way to build all but the most simple solutions.

Azure AI Foundry provides the _Azure AI Foundry portal_ , a web-based visual
interface for working with AI projects. It also provides the _Azure AI Foundry
SDK_ , which you can use to build AI solutions programmatically.

## Azure AI Foundry projects

In Azure AI Foundry, you manage the resource connections, data, code, and
other elements of the AI solution in _projects_. There are two kinds of
project:

### Foundry projects

![Diagram of a Foundry project.](../../wwl-data-ai/prepare-azure-ai-
development/media/foundry-project.png)

_Foundry projects_ are associated with an **Azure AI Foundry** resource in an
Azure subscription. Foundry projects provide support for Azure AI Foundry
models (including OpenAI models), Azure AI Foundry Agent Service, Azure AI
services, and tools for evaluation and responsible AI development.

An Azure AI Foundry resource supports the most common AI development tasks to
develop generative AI chat apps and agents. In most cases, using a Foundry
project provides the right level of resource centralization and capabilities
with a minimal amount of administrative resource management. You can use Azure
AI Foundry portal to work in projects that are based in Azure AI Foundry
resources, making it easy to add connected resources and manage model and
agent deployments.

### Hub-based projects

![Diagram of a hub-based project.](../../wwl-data-ai/prepare-azure-ai-
development/media/hub-project.png)

_Hub-based projects_ are associated with an **Azure AI hub** resource in an
Azure subscription. Hub-based projects include an Azure AI Foundry resource,
as well as managed compute, support for Prompt Flow development, and connected
**Azure storage** and **Azure key vault** resources for secure data storage.

Azure AI hub resources support advanced AI development scenarios, like
developing Prompt Flow based applications or fine-tuning models. You can also
use Azure AI hub resources in both Azure AI Foundry portal and Azure Machine
learning portal, making it easier to work on collaborative projects that
involve data scientists and machine learning specialists as well as developers
and AI software engineers

Tip

For more information about Azure AI Foundry project types, see **[What is
Azure AI Foundry?](https://learn.microsoft.com/en-us/azure/ai-foundry/what-is-
azure-ai-foundry)**.

* * *"
4,Develop generative AI apps in Azure - Training,Plan and prepare to develop AI solutions on Azure,Developer tools and SDKs,"# Developer tools and SDKs

Completed 100 XP

  * 5 minutes

While you can perform many of the tasks needed to develop an AI solution
directly in the Azure AI Foundry portal, developers also need to write, test,
and deploy code.

## Development tools and environments

There are many development tools and environments available, and developers
should choose one that supports the languages, SDKs, and APIs they need to
work with and with which they're most comfortable. For example, a developer
who focuses strongly on building applications for Windows using the .NET
Framework might prefer to work in an integrated development environment (IDE)
like Microsoft Visual Studio. Conversely, a web application developer who
works with a wide range of open-source languages and libraries might prefer to
use a code editor like Visual Studio Code (VS Code). Both of these products
are suitable for developing AI applications on Azure.

### The Azure AI Foundry for Visual Studio Code extension

When developing Azure AI Foundry based generative AI applications in Visual
Studio Code, you can use the Azure AI Foundry for Visual Studio Code extension
to simplify key tasks in the workflow, including:

  * Creating a project.
  * Selecting and deploying a model.
  * Testing a model in the playground.
  * Creating an agent.

![Screenshot of the Azure AI Foundry Visual Studio Code extension.](../../wwl-
data-ai/prepare-azure-ai-development/media/vs-code.png)

Tip

For more information about using the Azure AI Foundry for Visual Studio Code
extension, see **[Work with the Azure AI Foundry for Visual Studio Code
extension](https://learn.microsoft.com/en-us/azure/ai-foundry/how-
to/develop/get-started-projects-vs-code)**.

### GitHub and GitHub Copilot

GitHub is the world's most popular platform for source control and DevOps
management, and can be a critical element of any team development effort.
Visual Studio and VS Code both provide native integration with GitHub, and
access to GitHub Copilot; an AI assistant that can significantly improve
developer productivity and effectiveness.

![Screenshot of GitHub Copilot in Visual Studio Code.](../../wwl-data-
ai/prepare-azure-ai-development/media/github-copilot.png)

Tip

For more information about using GitHub Copilot in Visual Studio Code, see
**[GitHub Copilot in VS
Code](https://code.visualstudio.com/docs/copilot/overview)**.

## Programming languages, APIs, and SDKs

You can develop AI applications using many common programming languages and
frameworks, including Microsoft C#, Python, Node, TypeScript, Java, and
others. When building AI solutions on Azure, some common SDKs you should plan
to install and use include:

  * The **[Azure AI Foundry SDK](https://learn.microsoft.com/en-us/azure/ai-studio/how-to/develop/sdk-overview)** , which enables you to write code to connect to Azure AI Foundry projects and access resource connections, which you can then work with using service-specific SDKs.
  * The **[Azure AI Foundry Models API](/en-us/rest/api/aifoundry/modelinference/)** , which provides an interface for working with generative AI model endpoints hosted in Azure AI Foundry.
  * The **[Azure OpenAI in Azure AI Foundry Models API](/en-us/azure/ai-services/openai/reference)** , which enables you to build chat applications based on OpenAI models hosted in Azure AI Foundry.
  * **[Azure AI Services SDKs](https://learn.microsoft.com/en-us/azure/ai-services/reference/sdk-package-resources)** \- AI service-specific libraries for multiple programming languages and frameworks that enable you to consume Azure AI Services resources in your subscription. You can also use Azure AI Services through their [REST APIs](/en-us/azure/ai-services/reference/rest-api-resources).
  * The **[Azure AI Foundry Agent Service](https://learn.microsoft.com/en-us/azure/ai-services/agents/overview)** , which is accessed through the Azure AI Foundry SDK and can be integrated with frameworks like [Semantic Kernel](https://learn.microsoft.com/en-us/semantic-kernel/overview) to build comprehensive AI agent solutions.

* * *"
5,Develop generative AI apps in Azure - Training,Plan and prepare to develop AI solutions on Azure,Responsible AI,"# Responsible AI

Completed 100 XP

  * 5 minutes

It's important for software engineers to consider the impact of their software
on users, and society in general; including considerations for its responsible
use. When the application is imbued with artificial intelligence, these
considerations are particularly important due to the nature of how AI systems
work and inform decisions; often based on probabilistic models, which are in
turn dependent on the data with which they were trained.

The human-like nature of AI solutions is a significant benefit in making
applications user-friendly, but it can also lead users to place a great deal
of trust in the application's ability to make correct decisions. The potential
for harm to individuals or groups through incorrect predictions or misuse of
AI capabilities is a major concern, and software engineers building AI-enabled
solutions should apply due consideration to mitigate risks and ensure
fairness, reliability, and adequate protection from harm or discrimination.

Let's discuss some core principles for responsible AI that have been adopted
at Microsoft.

## Fairness

![A diagram of scales.](../../wwl-data-ai/prepare-azure-ai-
development/media/fairness.png)

AI systems should treat all people fairly. For example, suppose you create a
machine learning model to support a loan approval application for a bank. The
model should make predictions of whether or not the loan should be approved
without incorporating any bias based on gender, ethnicity, or other factors
that might result in an unfair advantage or disadvantage to specific groups of
applicants.

Fairness of machine learned systems is a highly active area of ongoing
research, and some software solutions exist for evaluating, quantifying, and
mitigating unfairness in machine learned models. However, tooling alone isn't
sufficient to ensure fairness. Consider fairness from the beginning of the
application development process; carefully reviewing training data to ensure
it's representative of all potentially affected subjects, and evaluating
predictive performance for subsections of your user population throughout the
development lifecycle.

## Reliability and safety

![A diagram of a shield.](../../wwl-data-ai/prepare-azure-ai-
development/media/reliability-safety.png)

AI systems should perform reliably and safely. For example, consider an AI-
based software system for an autonomous vehicle; or a machine learning model
that diagnoses patient symptoms and recommends prescriptions. Unreliability in
these kinds of system can result in substantial risk to human life.

As with any software, AI-based software application development must be
subjected to rigorous testing and deployment management processes to ensure
that they work as expected before release. Additionally, software engineers
need to take into account the probabilistic nature of machine learning models,
and apply appropriate thresholds when evaluating confidence scores for
predictions.

## Privacy and security

![A diagram of a padlock.](../../wwl-data-ai/prepare-azure-ai-
development/media/privacy-security.png)

AI systems should be secure and respect privacy. The machine learning models
on which AI systems are based rely on large volumes of data, which may contain
personal details that must be kept private. Even after models are trained and
the system is in production, they use new data to make predictions or take
action that may be subject to privacy or security concerns; so appropriate
safeguards to protect data and customer content must be implemented.

## Inclusiveness

![A diagram of a diverse group of people.](../../wwl-data-ai/prepare-azure-ai-
development/media/inclusiveness.png)

AI systems should empower everyone and engage people. AI should bring benefits
to all parts of society, regardless of physical ability, gender, sexual
orientation, ethnicity, or other factors.

One way to optimize for inclusiveness is to ensure that the design,
development, and testing of your application includes input from as diverse a
group of people as possible.

## Transparency

![A diagram of an eye.](../../wwl-data-ai/prepare-azure-ai-
development/media/transparency.png)

AI systems should be understandable. Users should be made fully aware of the
purpose of the system, how it works, and what limitations may be expected.

For example, when an AI system is based on a machine learning model, you
should generally make users aware of factors that may affect the accuracy of
its predictions, such as the number of cases used to train the model, or the
specific features that have the most influence over its predictions. You
should also share information about the confidence score for predictions.

When an AI application relies on personal data, such as a facial recognition
system that takes images of people to recognize them; you should make it clear
to the user how their data is used and retained, and who has access to it.

## Accountability

![A diagram of a handshake.](../../wwl-data-ai/prepare-azure-ai-
development/media/accountability.png)

People should be accountable for AI systems. Although many AI systems seem to
operate autonomously, ultimately it's the responsibility of the developers who
trained and validated the models they use, and defined the logic that bases
decisions on model predictions to ensure that the overall system meets
responsibility requirements. To help meet this goal, designers and developers
of AI-based solution should work within a framework of governance and
organizational principles that ensure the solution meets responsible and legal
standards that are clearly defined.

Tip

For more information about Microsoft's principles for responsible AI, see
**[the Microsoft responsible AI site](https://microsoft.com/ai/responsible-
ai)**.

* * *"
6,Develop generative AI apps in Azure - Training,Plan and prepare to develop AI solutions on Azure,Exercise - Prepare for an AI development project,"# Exercise - Prepare for an AI development project

Completed 100 XP

  * 30 minutes

If you have an Azure subscription, you can explore Azure AI Foundry for
yourself.

Note

If you don't have an Azure subscription, and you want to explore Azure AI
Foundry, you can [sign up for an account](https://azure.microsoft.com/free),
which includes credits for the first 30 days.

Launch the exercise and follow the instructions.

[![Button to launch exercise.](../../wwl-data-ai/prepare-azure-ai-
development/media/launch-
exercise.png)](https://go.microsoft.com/fwlink/?linkid=2260323)

* * *"
7,Develop generative AI apps in Azure - Training,Plan and prepare to develop AI solutions on Azure,Module assessment,"# Module assessment

Completed 200 XP

  * 3 minutes

1.

Which Azure resource provides language and vision services from a single
endpoint?

Azure AI Language

Azure AI Vision

Azure AI Services

2.

You plan to create a simple chat app that uses a generative AI model. What
kind of project should you create?

Azure AI Foundry project.

Azure AI hub based project.

Azure AI Custom Vision project.

3.

Which SDK enables you to connect to resources in a project?

Azure AI Services SDK

Semantic Kernel SDK

Azure AI Foundry SDK

Submit answers

You must answer all questions before checking your work.

You must answer all questions before checking your work.

* * *"
8,Develop generative AI apps in Azure - Training,Plan and prepare to develop AI solutions on Azure,Summary,Couldn't extract content for url: https://learn.microsoft.com/en-us/training/modules/prepare-azure-ai-development/9-summary
9,Develop generative AI apps in Azure - Training,Choose and deploy models from the model catalog in Azure AI Foundry portal,Introduction,"# Introduction

Completed 100 XP

  * 1 minute

Generative AI applications are built on _language models_. The development
process usually starts with an exploration and comparison of available
_foundation_ models to find the one that best suits the particular needs of
your application. After selecting a suitable model, you deploy it to an
endpoint where it can be consumed by a client application or AI agent.

Foundation models, such as the GPT family of models, are state-of-the-art
language models designed to understand, generate, and interact with natural
language. Some common use cases for models are:

  * **Speech-to-text and text-to-speech conversion**. For example, generate subtitles for videos.
  * **Machine translation**. For example, translate text from English to Japanese.
  * **Text classification**. For example, label an email as spam or not spam.
  * **Entity extraction**. For example, extract keywords or names from a document.
  * **Text summarization**. For example, generate a short one-paragraph summary from a multi-page document.
  * **Question answering**. For example, provide answers to questions like ""What is the capital of France?""
  * **Reasoning**. For example, solve a mathematical problem.

In this module, you focus on exploring foundation models used for question
answering. The foundation models you explore can be used for chat applications
in which you use a language model to generate a response to a user's question.

Note

The latest breakthrough in generative AI models is owed to the development of
the **Transformer** architecture. Transformers were introduced in the
[_Attention is all you need_ paper by Vaswani, et al. from
2017](https://arxiv.org/abs/1706.03762). The Transformer architecture provided
two innovations to NLP that resulted in the emergence of foundation models:

  * Instead of processing words sequentially, Transformers process each word independently and in parallel by using **attention**.
  * Next to the semantic similarity between words, Transformers use **positional encoding** to include the information about the position of a word in a sentence.

* * *"
